year,transect_label,transect,transect.year,segment,survey_1,survey_2,survey_3
2012,A1,1,1,1,NA,NA,NA
2012,A1,1,1,2,NA,NA,NA
2012,A1,1,1,3,NA,NA,NA
2012,A1,1,1,4,NA,NA,NA
2012,A1,1,1,5,NA,NA,NA
2012,A1,1,1,6,NA,NA,NA
2012,A1,1,1,7,NA,NA,NA
2012,A1,1,1,8,NA,NA,NA
2012,A1,1,1,9,NA,NA,NA
2012,A1,1,1,10,NA,NA,NA
2012,A2,2,2,1,0,1,NA
2012,A2,2,2,2,1,1,NA
2012,A2,2,2,3,1,1,NA
2012,A2,2,2,4,1,1,NA
2012,A2,2,2,5,1,1,NA
2012,A2,2,2,6,1,1,NA
2012,A2,2,2,7,1,0,NA
2012,A2,2,2,8,1,1,NA
2012,A2,2,2,9,1,0,NA
2012,A2,2,2,10,1,1,NA
2012,A3,3,3,1,1,1,NA
2012,A3,3,3,2,1,1,NA
2012,A3,3,3,3,1,1,NA
2012,A3,3,3,4,1,1,NA
2012,A3,3,3,5,1,1,NA
2012,A3,3,3,6,1,1,NA
2012,A3,3,3,7,1,1,NA
2012,A3,3,3,8,1,1,NA
2012,A3,3,3,9,1,0,NA
2012,A3,3,3,10,1,1,NA
2012,A4,4,4,1,0,1,NA
2012,A4,4,4,2,1,1,NA
2012,A4,4,4,3,0,0,NA
2012,A4,4,4,4,0,0,NA
2012,A4,4,4,5,0,1,NA
2012,A4,4,4,6,1,1,NA
2012,A4,4,4,7,1,1,NA
2012,A4,4,4,8,1,1,NA
2012,A4,4,4,9,0,0,NA
2012,A4,4,4,10,1,1,NA
2012,B1,5,5,1,1,1,NA
2012,B1,5,5,2,1,1,NA
2012,B1,5,5,3,1,1,NA
2012,B1,5,5,4,0,1,NA
2012,B1,5,5,5,1,1,NA
2012,B1,5,5,6,1,0,NA
2012,B1,5,5,7,0,0,NA
2012,B1,5,5,8,1,1,NA
2012,B1,5,5,9,1,0,NA
2012,B1,5,5,10,0,1,NA
2012,B2,6,6,1,0,0,NA
2012,B2,6,6,2,0,0,NA
2012,B2,6,6,3,0,0,NA
2012,B2,6,6,4,1,1,NA
2012,B2,6,6,5,1,0,NA
2012,B2,6,6,6,0,1,NA
2012,B2,6,6,7,0,1,NA
2012,B2,6,6,8,0,0,NA
2012,B2,6,6,9,0,0,NA
2012,B2,6,6,10,1,0,NA
2012,B3,7,7,1,0,0,NA
2012,B3,7,7,2,0,0,NA
2012,B3,7,7,3,1,1,NA
2012,B3,7,7,4,1,1,NA
2012,B3,7,7,5,0,0,NA
2012,B3,7,7,6,0,0,NA
2012,B3,7,7,7,1,1,NA
2012,B3,7,7,8,0,0,NA
2012,B3,7,7,9,1,0,NA
2012,B3,7,7,10,0,0,NA
2012,B4,8,8,1,0,0,NA
2012,B4,8,8,2,0,0,NA
2012,B4,8,8,3,0,0,NA
2012,B4,8,8,4,0,0,NA
2012,B4,8,8,5,0,0,NA
2012,B4,8,8,6,0,0,NA
2012,B4,8,8,7,0,0,NA
2012,B4,8,8,8,0,0,NA
2012,B4,8,8,9,0,0,NA
2012,B4,8,8,10,0,0,NA
2012,C1,9,9,1,1,0,NA
2012,C1,9,9,2,1,1,NA
2012,C1,9,9,3,1,1,NA
2012,C1,9,9,4,1,0,NA
2012,C1,9,9,5,0,1,NA
2012,C1,9,9,6,0,1,NA
2012,C1,9,9,7,1,1,NA
2012,C1,9,9,8,0,0,NA
2012,C1,9,9,9,0,1,NA
2012,C1,9,9,10,0,0,NA
2012,C2,10,10,1,0,0,NA
2012,C2,10,10,2,1,0,NA
2012,C2,10,10,3,1,1,NA
2012,C2,10,10,4,0,0,NA
2012,C2,10,10,5,0,0,NA
2012,C2,10,10,6,0,0,NA
2012,C2,10,10,7,0,0,NA
2012,C2,10,10,8,0,0,NA
2012,C2,10,10,9,0,1,NA
2012,C2,10,10,10,1,0,NA
2012,C3,11,11,1,0,0,NA
2012,C3,11,11,2,0,0,NA
2012,C3,11,11,3,0,1,NA
2012,C3,11,11,4,0,0,NA
2012,C3,11,11,5,0,0,NA
2012,C3,11,11,6,1,0,NA
2012,C3,11,11,7,0,0,NA
2012,C3,11,11,8,1,0,NA
2012,C3,11,11,9,0,0,NA
2012,C3,11,11,10,1,0,NA
2012,D1,12,12,1,0,0,NA
2012,D1,12,12,2,1,1,NA
2012,D1,12,12,3,0,0,NA
2012,D1,12,12,4,0,0,NA
2012,D1,12,12,5,0,0,NA
2012,D1,12,12,6,0,0,NA
2012,D1,12,12,7,1,0,NA
2012,D1,12,12,8,0,0,NA
2012,D1,12,12,9,0,0,NA
2012,D1,12,12,10,0,0,NA
2012,D2,13,13,1,0,0,NA
2012,D2,13,13,2,0,0,NA
2012,D2,13,13,3,0,0,NA
2012,D2,13,13,4,0,0,NA
2012,D2,13,13,5,0,0,NA
2012,D2,13,13,6,0,0,NA
2012,D2,13,13,7,0,0,NA
2012,D2,13,13,8,0,0,NA
2012,D2,13,13,9,0,0,NA
2012,D2,13,13,10,0,0,NA
2012,E1,14,14,1,0,0,NA
2012,E1,14,14,2,0,0,NA
2012,E1,14,14,3,0,0,NA
2012,E1,14,14,4,0,0,NA
2012,E1,14,14,5,0,0,NA
2012,E1,14,14,6,0,0,NA
2012,E1,14,14,7,0,0,NA
2012,E1,14,14,8,0,0,NA
2012,E1,14,14,9,0,0,NA
2012,E1,14,14,10,1,1,NA
2012,E2,15,15,1,0,0,NA
2012,E2,15,15,2,0,0,NA
2012,E2,15,15,3,1,0,NA
2012,E2,15,15,4,0,0,NA
2012,E2,15,15,5,0,0,NA
2012,E2,15,15,6,0,0,NA
2012,E2,15,15,7,0,0,NA
2012,E2,15,15,8,0,0,NA
2012,E2,15,15,9,0,0,NA
2012,E2,15,15,10,0,0,NA
2015,A1,1,16,1,1,1,NA
2015,A1,1,16,2,1,1,NA
2015,A1,1,16,3,1,1,NA
2015,A1,1,16,4,1,1,NA
2015,A1,1,16,5,1,1,NA
2015,A1,1,16,6,0,0,NA
2015,A1,1,16,7,1,0,NA
2015,A1,1,16,8,1,1,NA
2015,A1,1,16,9,1,1,NA
2015,A1,1,16,10,1,1,NA
2015,A2,2,17,1,0,1,NA
2015,A2,2,17,2,1,1,NA
2015,A2,2,17,3,1,1,NA
2015,A2,2,17,4,1,1,NA
2015,A2,2,17,5,1,1,NA
2015,A2,2,17,6,1,1,NA
2015,A2,2,17,7,1,0,NA
2015,A2,2,17,8,1,1,NA
2015,A2,2,17,9,1,1,NA
2015,A2,2,17,10,1,1,NA
2015,A3,3,18,1,1,1,NA
2015,A3,3,18,2,1,1,NA
2015,A3,3,18,3,1,1,NA
2015,A3,3,18,4,1,1,NA
2015,A3,3,18,5,1,1,NA
2015,A3,3,18,6,1,1,NA
2015,A3,3,18,7,1,1,NA
2015,A3,3,18,8,1,1,NA
2015,A3,3,18,9,1,1,NA
2015,A3,3,18,10,1,1,NA
2015,A4,4,19,1,0,0,NA
2015,A4,4,19,2,1,1,NA
2015,A4,4,19,3,1,1,NA
2015,A4,4,19,4,1,1,NA
2015,A4,4,19,5,0,0,NA
2015,A4,4,19,6,1,1,NA
2015,A4,4,19,7,0,1,NA
2015,A4,4,19,8,0,0,NA
2015,A4,4,19,9,1,0,NA
2015,A4,4,19,10,1,1,NA
2015,B1,5,20,1,1,1,NA
2015,B1,5,20,2,0,1,NA
2015,B1,5,20,3,0,0,NA
2015,B1,5,20,4,0,0,NA
2015,B1,5,20,5,0,0,NA
2015,B1,5,20,6,0,0,NA
2015,B1,5,20,7,1,1,NA
2015,B1,5,20,8,1,1,NA
2015,B1,5,20,9,0,0,NA
2015,B1,5,20,10,1,1,NA
2015,B2,6,21,1,1,0,NA
2015,B2,6,21,2,0,0,NA
2015,B2,6,21,3,1,1,NA
2015,B2,6,21,4,1,1,NA
2015,B2,6,21,5,1,1,NA
2015,B2,6,21,6,1,1,NA
2015,B2,6,21,7,1,1,NA
2015,B2,6,21,8,0,0,NA
2015,B2,6,21,9,0,0,NA
2015,B2,6,21,10,0,1,NA
2015,B3,7,22,1,0,0,NA
2015,B3,7,22,2,0,0,NA
2015,B3,7,22,3,0,1,NA
2015,B3,7,22,4,0,1,NA
2015,B3,7,22,5,0,0,NA
2015,B3,7,22,6,1,1,NA
2015,B3,7,22,7,0,0,NA
2015,B3,7,22,8,0,0,NA
2015,B3,7,22,9,1,0,NA
2015,B3,7,22,10,0,0,NA
2015,B4,8,23,1,0,0,NA
2015,B4,8,23,2,1,0,NA
2015,B4,8,23,3,0,0,NA
2015,B4,8,23,4,0,1,NA
2015,B4,8,23,5,0,0,NA
2015,B4,8,23,6,0,0,NA
2015,B4,8,23,7,1,0,NA
2015,B4,8,23,8,0,0,NA
2015,B4,8,23,9,0,0,NA
2015,B4,8,23,10,0,1,NA
2015,C1,9,24,1,1,1,NA
2015,C1,9,24,2,1,1,NA
2015,C1,9,24,3,1,1,NA
2015,C1,9,24,4,0,0,NA
2015,C1,9,24,5,1,1,NA
2015,C1,9,24,6,0,0,NA
2015,C1,9,24,7,1,1,NA
2015,C1,9,24,8,1,0,NA
2015,C1,9,24,9,1,0,NA
2015,C1,9,24,10,1,0,NA
2015,C2,10,25,1,1,1,NA
2015,C2,10,25,2,1,1,NA
2015,C2,10,25,3,1,1,NA
2015,C2,10,25,4,1,1,NA
2015,C2,10,25,5,0,0,NA
2015,C2,10,25,6,0,0,NA
2015,C2,10,25,7,1,0,NA
2015,C2,10,25,8,1,1,NA
2015,C2,10,25,9,0,0,NA
2015,C2,10,25,10,1,0,NA
2015,C3,11,26,1,0,0,NA
2015,C3,11,26,2,0,0,NA
2015,C3,11,26,3,0,0,NA
2015,C3,11,26,4,0,0,NA
2015,C3,11,26,5,0,0,NA
2015,C3,11,26,6,1,1,NA
2015,C3,11,26,7,0,0,NA
2015,C3,11,26,8,1,1,NA
2015,C3,11,26,9,0,0,NA
2015,C3,11,26,10,1,1,NA
2015,D1,12,27,1,0,0,NA
2015,D1,12,27,2,0,0,NA
2015,D1,12,27,3,0,0,NA
2015,D1,12,27,4,0,0,NA
2015,D1,12,27,5,0,0,NA
2015,D1,12,27,6,0,0,NA
2015,D1,12,27,7,0,0,NA
2015,D1,12,27,8,0,0,NA
2015,D1,12,27,9,0,0,NA
2015,D1,12,27,10,0,0,NA
2015,D2,13,28,1,0,0,NA
2015,D2,13,28,2,1,1,NA
2015,D2,13,28,3,0,0,NA
2015,D2,13,28,4,0,0,NA
2015,D2,13,28,5,0,0,NA
2015,D2,13,28,6,0,0,NA
2015,D2,13,28,7,0,0,NA
2015,D2,13,28,8,0,0,NA
2015,D2,13,28,9,0,0,NA
2015,D2,13,28,10,0,0,NA
2015,E1,14,29,1,0,0,NA
2015,E1,14,29,2,0,0,NA
2015,E1,14,29,3,1,1,NA
2015,E1,14,29,4,0,0,NA
2015,E1,14,29,5,0,0,NA
2015,E1,14,29,6,1,1,NA
2015,E1,14,29,7,0,0,NA
2015,E1,14,29,8,0,0,NA
2015,E1,14,29,9,0,0,NA
2015,E1,14,29,10,0,0,NA
2015,E2,15,30,1,0,0,NA
2015,E2,15,30,2,0,0,NA
2015,E2,15,30,3,0,0,NA
2015,E2,15,30,4,0,0,NA
2015,E2,15,30,5,0,0,NA
2015,E2,15,30,6,0,0,NA
2015,E2,15,30,7,0,0,NA
2015,E2,15,30,8,0,0,NA
2015,E2,15,30,9,0,0,NA
2015,E2,15,30,10,0,0,NA
2021,A1,1,31,1,1,0,1
2021,A1,1,31,2,1,1,1
2021,A1,1,31,3,1,1,1
2021,A1,1,31,4,0,1,1
2021,A1,1,31,5,1,1,1
2021,A1,1,31,6,1,1,1
2021,A1,1,31,7,1,0,0
2021,A1,1,31,8,1,1,1
2021,A1,1,31,9,1,1,1
2021,A1,1,31,10,1,1,1
2021,A2,2,32,1,1,1,1
2021,A2,2,32,2,1,1,1
2021,A2,2,32,3,1,1,1
2021,A2,2,32,4,1,1,1
2021,A2,2,32,5,1,1,1
2021,A2,2,32,6,0,1,1
2021,A2,2,32,7,1,1,0
2021,A2,2,32,8,1,1,1
2021,A2,2,32,9,0,1,0
2021,A2,2,32,10,1,1,0
2021,A3,3,33,1,1,1,0
2021,A3,3,33,2,1,1,0
2021,A3,3,33,3,1,1,0
2021,A3,3,33,4,1,1,0
2021,A3,3,33,5,1,1,1
2021,A3,3,33,6,1,1,0
2021,A3,3,33,7,1,1,1
2021,A3,3,33,8,1,1,1
2021,A3,3,33,9,1,1,1
2021,A3,3,33,10,1,1,1
2021,A4,4,34,1,0,1,1
2021,A4,4,34,2,0,1,1
2021,A4,4,34,3,1,1,1
2021,A4,4,34,4,0,1,1
2021,A4,4,34,5,1,0,0
2021,A4,4,34,6,1,1,1
2021,A4,4,34,7,1,1,1
2021,A4,4,34,8,0,0,0
2021,A4,4,34,9,1,1,1
2021,A4,4,34,10,0,0,0
2021,B1,5,35,1,1,1,0
2021,B1,5,35,2,0,0,1
2021,B1,5,35,3,1,1,1
2021,B1,5,35,4,1,1,1
2021,B1,5,35,5,0,0,0
2021,B1,5,35,6,1,0,1
2021,B1,5,35,7,0,0,0
2021,B1,5,35,8,1,1,1
2021,B1,5,35,9,0,0,0
2021,B1,5,35,10,0,0,0
2021,B2,6,36,1,0,0,0
2021,B2,6,36,2,0,1,0
2021,B2,6,36,3,0,0,0
2021,B2,6,36,4,0,0,0
2021,B2,6,36,5,1,0,0
2021,B2,6,36,6,1,1,0
2021,B2,6,36,7,1,0,0
2021,B2,6,36,8,0,0,1
2021,B2,6,36,9,1,0,1
2021,B2,6,36,10,1,0,1
2021,B3,7,37,1,0,1,0
2021,B3,7,37,2,0,0,0
2021,B3,7,37,3,0,0,0
2021,B3,7,37,4,0,0,0
2021,B3,7,37,5,0,0,0
2021,B3,7,37,6,0,0,0
2021,B3,7,37,7,0,0,0
2021,B3,7,37,8,0,0,0
2021,B3,7,37,9,0,0,0
2021,B3,7,37,10,0,0,0
2021,B4,8,38,1,0,0,0
2021,B4,8,38,2,0,0,0
2021,B4,8,38,3,0,0,0
2021,B4,8,38,4,0,0,0
2021,B4,8,38,5,0,0,0
2021,B4,8,38,6,0,0,0
2021,B4,8,38,7,1,1,1
2021,B4,8,38,8,0,0,0
2021,B4,8,38,9,0,0,0
2021,B4,8,38,10,0,0,0
2021,C1,9,39,1,1,1,1
2021,C1,9,39,2,0,0,0
2021,C1,9,39,3,1,0,0
2021,C1,9,39,4,0,0,0
2021,C1,9,39,5,0,0,0
2021,C1,9,39,6,0,0,0
2021,C1,9,39,7,0,0,0
2021,C1,9,39,8,0,0,0
2021,C1,9,39,9,0,0,0
2021,C1,9,39,10,0,0,0
2021,C2,10,40,1,1,0,1
2021,C2,10,40,2,0,0,0
2021,C2,10,40,3,1,0,1
2021,C2,10,40,4,1,1,1
2021,C2,10,40,5,1,1,1
2021,C2,10,40,6,1,1,1
2021,C2,10,40,7,1,1,0
2021,C2,10,40,8,1,1,0
2021,C2,10,40,9,1,1,0
2021,C2,10,40,10,1,1,0
2021,C3,11,41,1,1,1,0
2021,C3,11,41,2,1,1,0
2021,C3,11,41,3,1,1,0
2021,C3,11,41,4,0,0,0
2021,C3,11,41,5,0,0,1
2021,C3,11,41,6,1,0,1
2021,C3,11,41,7,0,0,1
2021,C3,11,41,8,0,0,0
2021,C3,11,41,9,1,1,1
2021,C3,11,41,10,0,0,0
2021,D1,12,42,1,0,1,0
2021,D1,12,42,2,0,1,0
2021,D1,12,42,3,0,0,0
2021,D1,12,42,4,0,0,0
2021,D1,12,42,5,0,0,1
2021,D1,12,42,6,0,0,0
2021,D1,12,42,7,0,0,0
2021,D1,12,42,8,0,0,0
2021,D1,12,42,9,0,0,0
2021,D1,12,42,10,0,0,0
2021,D2,13,43,1,0,0,0
2021,D2,13,43,2,0,0,0
2021,D2,13,43,3,0,0,0
2021,D2,13,43,4,0,0,0
2021,D2,13,43,5,0,0,0
2021,D2,13,43,6,0,0,0
2021,D2,13,43,7,0,0,0
2021,D2,13,43,8,0,0,0
2021,D2,13,43,9,0,0,0
2021,D2,13,43,10,0,0,0
2021,E1,14,44,1,0,0,0
2021,E1,14,44,2,0,0,0
2021,E1,14,44,3,0,0,0
2021,E1,14,44,4,0,0,0
2021,E1,14,44,5,0,0,0
2021,E1,14,44,6,0,0,0
2021,E1,14,44,7,0,0,0
2021,E1,14,44,8,0,0,0
2021,E1,14,44,9,0,0,0
2021,E1,14,44,10,1,0,0
2021,E2,15,45,1,0,0,0
2021,E2,15,45,2,1,1,1
2021,E2,15,45,3,0,0,0
2021,E2,15,45,4,0,0,0
2021,E2,15,45,5,0,0,0
2021,E2,15,45,6,0,0,0
2021,E2,15,45,7,0,0,0
2021,E2,15,45,8,0,0,0
2021,E2,15,45,9,0,0,0
2021,E2,15,45,10,0,0,0
